Tahun,Aktual,Predict,CrispOut,Production,Consumption
1969,Aman,Aman,0.19588914708342633,32.41078838,6.4
1970,Aman,Aman,0.22686674769584037,43.11341632,6.8
1971,Aman,Aman,0.23241933647284346,45.03181189,7.0
1972,Aman,Aman,0.26046891732259636,54.72282158,7.6
1973,Aman,Aman,0.29745292006478713,67.54771784,9.1
1974,Aman,Aman,0.30218958382995853,69.41562932,9.5
1975,Aman,Aman,0.2923492118732315,65.93222683,10.9
1976,Aman,Aman,0.3162646281869512,76.12614385,11.7
1977,Aman,Krisis,0.5674324153366387,84.93662748,14.1
1978,Aman,Aman,0.4688966464910759,82.10463808,15.5
1979,Aman,Aman,0.3906512380281537,79.54492623,16.9
1980,Aman,Aman,0.37304708948850657,79.03507607,18.9
1981,Aman,Aman,0.42307561056315385,79.96209313,21.1
1982,Aman,Aman,0.2837442804451171,66.58380821,21.8
1983,Aman,Aman,0.2998782165900034,70.68378976,21.4
1984,Aman,Aman,0.3162646281869512,74.8924758,22.9
1985,Aman,Aman,0.2834787042445458,66.33980175,22.6
1986,Aman,Aman,0.2994696808454538,70.36972647,23.8
1987,Aman,Aman,0.2980839117594971,69.82433578,24.8
1988,Aman,Aman,0.29049513314486186,67.28974674,26.1
1989,Aman,Aman,0.30653483037764945,71.63032591,27.6
1990,Aman,Aman,0.3162646281869512,74.43352486,31.7
1991,Aman,Aman,0.4250922427579723,81.00554713,33.6
1992,Aman,Aman,0.3162646281869512,76.73035718,36.2
1993,Aman,Aman,0.3162646281869512,76.85102824,38.0
1994,Aman,Aman,0.3162646281869512,76.94038799,38.9
1995,Aman,Aman,0.3162646281869512,76.45456273,42.3
1996,Aman,Aman,0.3162646281869512,76.72628993,44.1
1997,Aman,Aman,0.3162646281869512,75.71113802,48.9
1998,Aman,Aman,0.3162646281869512,74.20052046,46.7
1999,Aman,Aman,0.3162646281869512,68.60419616,48.8
2000,Aman,Aman,0.3162646281869512,71.81025761,55.25462853
2001,Aman,Aman,0.3162646281869512,68.17487868,54.06264031
2002,Aman,Aman,0.3162646281869512,63.32870565,56.22728047
2003,Aman,Aman,0.3162646281869512,57.64736605,57.28202359
2004,Krisis,Aman,0.3162646281869512,55.55009844,60.53159979
2005,Krisis,Aman,0.3162646281869512,53.71537532,59.51576596
2006,Krisis,Aman,0.3162646281869512,50.22591269,57.81165927
2007,Krisis,Aman,0.3162646281869512,47.83466865,59.29885656
2008,Krisis,Aman,0.3162646281869512,49.42713326,58.73275224
2009,Krisis,Aman,0.3162646281869512,48.40740194,60.61478027
2010,Krisis,Krisis,0.8231895034572642,48.62253439,65.18057845
2011,Krisis,Krisis,0.8231895034572642,46.30668945,71.134637
2012,Krisis,Krisis,0.8231895034572642,44.62404238,71.61067102
